Text,WER,DNSMOS,MCD,PESQ,STOI,Recognized Text,Audio File,Reference Audio File
i see a quantity of chairs for hire at the rate of one sou men reading the newspaper under the shade of the trees girls and men breakfasting either alone or in company waiters who were rapidly going up and down a narrow staircase hidden under the foliage,0.10416666666666667,3.8687302084039237,111.36183329943306,1.0369113683700562,0.06631871387901153,i see a quantity of chairs for hire at the rate of one's zoo men reading the newspaper under the shade of the trees girls and men breakfasting either alone or in company waiters who are rapidly going up a narrow staircase hidden under the foliage,generated_audio/librispeech_audio_1.wav,reference_audio/librispeech_reference_1.wav
ah the swamp the cruel swamp,0.5,3.6483227621570498,126.00548308336842,1.0221514701843262,0.15525148268757152,"ah, the swamp, the cruel swamp.",generated_audio/librispeech_audio_2.wav,reference_audio/librispeech_reference_2.wav
young fitzooth had been commanded to his mother's chamber so soon as he had come out from his converse with the squire,0.18181818181818182,3.8917154504848184,223.37606943153216,1.060096025466919,0.10027591692093622,"young fitzhuth had been commanded to his mother's chamber, so soon as he had come out from his converse with the squire it fair.",generated_audio/librispeech_audio_3.wav,reference_audio/librispeech_reference_3.wav
i like to talk to carl about new york and what a fellow can do there,0.0625,3.773326417919237,186.1197096946984,1.0362331867218018,0.14419599322071908,i like to talk to carl about new york and what a fellow can do there.,generated_audio/librispeech_audio_4.wav,reference_audio/librispeech_reference_4.wav
shall i never miss home talk and blessing and the common kiss that comes to each in turn nor count it strange when i look up to drop on a new range of walls and floors another home than this,0.0,3.786451476776067,134.2885754950891,1.030630350112915,0.11710382234392765,shall i never miss home talk and blessing and the common kiss that comes to each in turn nor count it strange when i look up to drop on a new range of walls and floors another home than this,generated_audio/librispeech_audio_5.wav,reference_audio/librispeech_reference_5.wav
to all these inquiries the count responded in the affirmative,0.2,3.7436433982865083,135.12643748075962,1.0347778797149658,0.241308919483465,"to all these inquiries, the count responded in the affirmative.",generated_audio/librispeech_audio_6.wav,reference_audio/librispeech_reference_6.wav
hers happened to be in the same frame too but she evidently didn't care about that,0.125,3.8576217279111895,161.57201817892926,1.0464653968811035,0.24320570259897284,"hers happened to be in the same frame too, but she evidently didn't care about that.",generated_audio/librispeech_audio_7.wav,reference_audio/librispeech_reference_7.wav
after early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels,0.6111111111111112,3.768630398659498,131.15005082695927,1.2584781646728516,0.1641354129040725,"after early nightfall, the yellow lamps would light up.",generated_audio/librispeech_audio_8.wav,reference_audio/librispeech_reference_8.wav
ay and show you some pretty tricks,0.2857142857142857,3.7905729753229904,175.64930691806316,1.0316317081451416,0.2541416275753526,"aye, and show you some pretty tricks.",generated_audio/librispeech_audio_9.wav,reference_audio/librispeech_reference_9.wav
only that one answered the tree,0.16666666666666666,3.7505159757612554,126.52308905094998,1.0324265956878662,0.2405909559305239,only that one answered the tree.,generated_audio/librispeech_audio_10.wav,reference_audio/librispeech_reference_10.wav
but john there's no society just elementary work,0.375,3.6796852219030316,100.424711077404,1.0238128900527954,0.14308856416082172,"but john, there's no society, just elementary work.",generated_audio/librispeech_audio_11.wav,reference_audio/librispeech_reference_11.wav
oh to shoot my soul's full meaning into future years that they should lend it utterance and salute love that endures from life that disappears,0.0,3.936639436625016,144.92309823664172,1.0405672788619995,0.13404178218222854,oh to shoot my soul's full meaning into future years that they should lend it utterance and salute love that endures from life that disappears,generated_audio/librispeech_audio_12.wav,reference_audio/librispeech_reference_12.wav
very carefully the magician removed this powder placing it all together in a golden dish where he mixed it with a golden spoon,0.13043478260869565,3.8712014929841327,129.81897737528462,1.0396846532821655,0.16109723208770477,"very carefully the magician removed this powder, placing it all together in a golden dish, where he mixed it with a golden spoon.",generated_audio/librispeech_audio_13.wav,reference_audio/librispeech_reference_13.wav
in place of a single hamlet in the smallest corner of which the members could have congregated there now are about seventy stakes of zion and about seven hundred organized wards each ward and stake with its full complement of officers and priesthood organizations,0.0,3.852123812191897,169.09395315226104,1.0512351989746094,0.19304201835599552,in place of a single hamlet in the smallest corner of which the members could have congregated there now are about seventy stakes of zion and about seven hundred organized wards each ward and stake with its full complement of officers and priesthood organizations,generated_audio/librispeech_audio_14.wav,reference_audio/librispeech_reference_14.wav
in this whole epistle paul treats of the resurrection of christ,0.18181818181818182,3.8657388854588053,139.3158942978485,1.050937533378601,0.21534142329406478,"in this whole epistle, paul treats of the resurrection of christ.",generated_audio/librispeech_audio_15.wav,reference_audio/librispeech_reference_15.wav
and what was the subject of the poem said the person who made the remark,0.13333333333333333,3.7206122876224743,98.67734699225161,1.0581501722335815,0.17550115037097805,and what was the subject of the poem? said the person who made the remark.,generated_audio/librispeech_audio_16.wav,reference_audio/librispeech_reference_16.wav
bartley bent lower over the fire,0.3333333333333333,3.532449518059604,101.77720811332308,1.0640990734100342,0.10051838984559038,barthley bent lower over the fire.,generated_audio/librispeech_audio_17.wav,reference_audio/librispeech_reference_17.wav
but the actual course of development has been somewhat different from this ideal scheme leisure held the first place at the start and came to hold a rank very much above wasteful consumption of goods both as a direct exponent of wealth and as an element in the standard of decency during the quasi peaceable culture,0.25,3.9009794939288414,195.01913900905384,1.0767667293548584,0.12522405059518602,"but the actual course of development has been somewhat different from this ideal scheme. leisure held the first place at the start and came to hold a rank very much above wasteful consumption of goods, both as a direct exponent of wealth and as an element in the standard of wealth and as an element in the standard of decency during the quasi-peaceable culture.",generated_audio/librispeech_audio_18.wav,reference_audio/librispeech_reference_18.wav
no doubt in process of time the ladies will follow,0.1,3.8340404786883515,119.956085771631,1.0480278730392456,0.24362103433638738,no doubt in process of time the ladies will follow.,generated_audio/librispeech_audio_19.wav,reference_audio/librispeech_reference_19.wav
pearl seeing the rose bushes began to cry for a red rose and would not be pacified,0.17647058823529413,3.9510903468311565,130.13913209602654,1.0293322801589966,0.07375421603449557,"pearl, seeing the rose bushes, began to cry for a red rose and would not be pacified.",generated_audio/librispeech_audio_20.wav,reference_audio/librispeech_reference_20.wav
we never had so many of them in here before,0.1,3.652349914500686,117.016597886427,1.0274652242660522,0.23571703707669775,we never had so many of them in here before.,generated_audio/librispeech_audio_21.wav,reference_audio/librispeech_reference_21.wav
irene burgoyne one of her family told me in confidence that there was a romance somewhere back in the beginning,0.1,3.993406591571085,195.03969015045064,1.0620179176330566,0.13810132052749566,"irene burgoyne, one of her family told me in confidence that there was a romance somewhere back in the beginning.",generated_audio/librispeech_audio_22.wav,reference_audio/librispeech_reference_22.wav
